rank,artist_name,playcount,playcount_pct
208,Mansun,42,0.1
209,The Charlatans,42,0.1
210,Interpol,41,0.1
211,Jethro Tull,41,0.1
212,Player,41,0.1
213,Fleetwood Mac,40,0.09
214,George Michael,40,0.09
215,Gilbert O'Sullivan,40,0.09
216,Jimi Hendrix,40,0.09
217,Nine Inch Nails,40,0.09
218,The Cramps,40,0.09
219,Björk,39,0.09
220,Little Richard,39,0.09
221,Dream Theater,38,0.09
222,Miles Kane,38,0.09
223,Barricada,37,0.09
224,Kings of Leon,37,0.09
225,Richard Ashcroft,37,0.09
226,Alice in Chains,36,0.08
227,The Pretenders,36,0.08
228,The Vines,36,0.08
229,Inspiral Carpets,35,0.08
230,Joe Satriani,35,0.08
231,Sigur Rós,35,0.08
232,Van Morrison,35,0.08
233,Édith Piaf,34,0.08
234,Estopa,34,0.08
235,Hamlet,34,0.08
236,Kaiser Chiefs,34,0.08
237,Los Piratas,34,0.08
238,Righeira,34,0.08
239,Alice Cooper,33,0.08
240,Café Quijano,33,0.08
241,El Último de la Fila,33,0.08
242,La Polla Records,33,0.08
243,Robbie Williams,33,0.08
244,Tool,33,0.08
245,Foals,32,0.07
246,New York Dolls,32,0.07
247,Pantera,32,0.07
248,Roxy Music,32,0.07
249,Decibelios,31,0.07
250,Dirty Pretty Things,31,0.07
251,Jane's Addiction,31,0.07
252,Jeff Buckley,31,0.07
253,Vampire Weekend,31,0.07
254,Wings,31,0.07
255,Dave Rowntree,30,0.07
256,Joe Cocker,30,0.07
257,Los Toreros Muertos,30,0.07
258,Molotov,30,0.07
259,Chet Baker,29,0.07
260,Clawfinger,29,0.07
261,Nino Bravo,29,0.07
262,The Coral,28,0.07
263,The Cranberries,28,0.07
264,Bad Religion,27,0.06
265,Hard-Fi,27,0.06
266,Rocket Juice & The Moon,26,0.06
267,Small Faces,26,0.06
268,Television,26,0.06
269,Wu-Tang Clan,26,0.06
270,Australian Blonde,25,0.06
271,De La Soul,25,0.06
272,Incubus,25,0.06
273,Parálisis Permanente,25,0.06
274,Temples,25,0.06
275,The Flaming Lips,25,0.06
276,Yes,25,0.06
277,Anthrax,24,0.06
278,Belle and Sebastian,24,0.06
279,PJ Harvey,24,0.06
280,Saint Etienne,24,0.06
281,The Delgados,24,0.06
282,Tricky,24,0.06
283,Yeah Yeah Yeahs,24,0.06
284,Crowded House,23,0.05
285,Travis,23,0.05
286,Eric Clapton,22,0.05
287,Genesis,22,0.05
288,Korn,22,0.05
289,Neil Young,22,0.05
290,Ride,22,0.05
291,Ray Charles,21,0.05
292,Rory Gallagher,21,0.05
293,Slayer,21,0.05
294,Cicatriz,20,0.05
295,Grateful Dead,20,0.05
296,Spandau Ballet,20,0.05
297,Frank Zappa,19,0.04
298,Leonard Cohen,19,0.04
299,King Crimson,18,0.04
300,Robbie Dupree,18,0.04
301,Soundgarden,18,0.04
302,Wilco,18,0.04
303,Adriano Celentano,17,0.04
304,El Club de los Poetas Violentos,17,0.04
305,Glasvegas,17,0.04
306,Reincidentes,17,0.04
307,Terrorvision,17,0.04
308,Cat Stevens,16,0.04
309,Fatboy Slim,16,0.04
310,Johnny Cash,16,0.04
311,Limp Bizkit,16,0.04
312,Rancid,16,0.04
313,Beastie Boys,15,0.03
314,Morcheeba,15,0.03
315,The Stooges,15,0.03
316,Boikot,14,0.03
317,Dead Kennedys,14,0.03
318,La Habitación Roja,14,0.03
319,Babyshambles,13,0.03
320,Beady Eye,13,0.03
321,Death Cab for Cutie,13,0.03
322,Def Leppard,13,0.03
323,Florence + the Machine,13,0.03
324,Jarabe de Palo,13,0.03
325,Lush,13,0.03
326,Madonna,13,0.03
327,Texas,13,0.03
328,Thom Yorke,13,0.03
329,Bill Evans,12,0.03
330,Moloko,12,0.03
331,Talk Talk,12,0.03
332,Al Green,11,0.03
333,Barry White,11,0.03
334,Carlos Berlanga,11,0.03
335,Deftones,11,0.03
336,Hole,11,0.03
337,Johnny Marr,11,0.03
338,King Diamond,11,0.03
339,Obus,11,0.03
340,Papa Roach,11,0.03
341,Rinôçérôse,11,0.03
342,Stone Temple Pilots,11,0.03
343,Al Stewart,10,0.02
344,Alaska y Dinarama,10,0.02
345,Andy Gibb,10,0.02
346,The Fratellis,10,0.02
347,The Wallflowers,10,0.02
348,Blind Guardian,9,0.02
349,Chic,9,0.02
350,David Shire,9,0.02
351,Derribos Arias,9,0.02
352,Frankie Valli,9,0.02
353,Golpes Bajos,9,0.02
354,Los Coronas,9,0.02
355,Mecano,9,0.02
356,Sylvester,9,0.02
357,The O'Jays,9,0.02
358,Tom Jones,9,0.02
359,Yann Tiersen,9,0.02
360,Black Harmony,8,0.02
361,Mark Knopfler,8,0.02
362,The Pogues,8,0.02
363,The Yardbirds,8,0.02
364,John Travolta,7,0.02
365,Kaka de Luxe,7,0.02
366,The Doobie Brothers,7,0.02
367,Violadores del Verso,7,0.02
368,Sha Na Na,6,0.01
369,Sid Vicious,6,0.01
370,The Trammps,6,0.01
371,Dick Dale,5,0.01
372,João Gilberto,5,0.01
373,Kool & the Gang,5,0.01
374,Mika,5,0.01
375,New Radicals,5,0.01
376,Obús,5,0.01
377,Sylvia Telles,5,0.01
378,The Byrds,5,0.01
379,Ariel Rot,4,0.01
380,B.J. Thomas,4,0.01
381,Editors,4,0.01
382,Eminem,4,0.01
383,José Luis Perales,4,0.01
384,Les Paul & Mary Ford,4,0.01
385,Peor Impossible,4,0.01
386,Simon & Garfunkel,4,0.01
387,Sleaford Mods,4,0.01
388,Underworld,4,0.01
389,Cindy Bullens,3,0.01
390,Ennio Morricone,3,0.01
391,KC and The Sunshine Band,3,0.01
392,MFSB,3,0.01
393,Ralph MacDonald,3,0.01
394,Rosa Anschütz,3,0.01
395,Tavares,3,0.01
396,The Dandy Warhols,3,0.01
397,The Lemonheads,3,0.01
398,The Lovin' Spoonful,3,0.01
399,Walter Murphy,3,0.01
400,Yvonne Elliman,3,0.01
401,Brothers Johnson,2,0.0
402,Chuck Berry,2,0.0
403,Chumbawamba,2,0.0
404,Gomez,2,0.0
405,JAY-Z,2,0.0
406,Jim Jacobs,2,0.0
407,Lilys,2,0.0
408,Los Sencillos,2,0.0
409,Marc Parrot,2,0.0
410,Olivia Newton-John,2,0.0
411,Paul Weller,2,0.0
412,Rick Nelson,2,0.0
413,Stereophonics,2,0.0
414,The Go! Team,2,0.0
415,The Tornadoes,2,0.0
416,Volován,2,0.0
417,A Tribe Called Quest,1,0.0
418,Alaska y Los Pegamoides,1,0.0
419,Alizzz,1,0.0
420,Aphex Twin,1,0.0
421,Black Grape,1,0.0
422,Black Rebel Motorcycle Club,1,0.0
423,blink-182,1,0.0
424,Boedekka,1,0.0
425,Bruce Willis,1,0.0
426,Budapest,1,0.0
427,Carlos Lyra,1,0.0
428,Cast,1,0.0
429,Cornershop,1,0.0
430,Cypress Hill,1,0.0
431,Deluxe,1,0.0
432,Doves,1,0.0
433,Duane Whitaker,1,0.0
434,Dusty Springfield,1,0.0
435,El Aviador Dro,1,0.0
436,Embrace,1,0.0
437,EMF,1,0.0
438,Frankie Avalon,1,0.0
439,Groove Armada,1,0.0
440,Happy Mondays,1,0.0
441,Helloween,1,0.0
442,Ian Brown,1,0.0
443,Ivy,1,0.0
444,James,1,0.0
445,Jay-Jay Johanson,1,0.0
446,Jesus Jones,1,0.0
447,Jolie Holland,1,0.0
448,Justice,1,0.0
449,Kenickie,1,0.0
450,Kent,1,0.0
451,Leftfield,1,0.0
452,Link Wray & His Wraymen,1,0.0
453,Longpigs,1,0.0
454,Louis St. Louis,1,0.0
455,Maga,1,0.0
456,Maria McKee,1,0.0
457,Marilyn Manson,1,0.0
458,Mogwai,1,0.0
459,Museum,1,0.0
460,Music Lovers,1,0.0
461,Operator,1,0.0
462,Paraíso,1,0.0
463,Passion Pit,1,0.0
464,Paul Francis Webster,1,0.0
465,Pery Ribeiro,1,0.0
466,Radio 4,1,0.0
467,RJD2,1,0.0
468,Samuel L. Jackson,1,0.0
469,Sexy Sadie,1,0.0
470,Shed Seven,1,0.0
471,Simian,1,0.0
472,Spiritualized,1,0.0
473,Stockard Channing,1,0.0
