Puesto;Artista;Scrobbles
284;Grateful Dead;20
285;Jane's Addiction;20
286;Spandau Ballet;20
287;Alice Cooper;19
288;Leonard Cohen;19
289;Chet Baker;18
290;Eric Clapton;18
291;King Crimson;18
292;Robbie Dupree;18
293;The Boo Radleys;18
294;Wilco;18
295;Adriano Celentano;17
296;El Club de los Poetas Violentos;17
297;Reincidentes;17
298;Soundgarden;17
299;Bauhaus;16
300;Cat Stevens;16
301;Fatboy Slim;16
302;Glasvegas;16
303;Johnny Cash;16
304;Limp Bizkit;16
305;Rancid;16
306;Sigur Rós;15
307;Terrorvision;15
308;Belle and Sebastian;14
309;Boikot;14
310;La Habitación Roja;14
311;Texas;14
312;Babyshambles;13
313;Beady Eye;13
314;Death Cab for Cutie;13
315;Def Leppard;13
316;Jarabe de Palo;13
317;Lush;13
318;Madonna;13
319;The Delgados;13
320;Thom Yorke;13
321;Bill Evans;12
322;King Diamond;12
323;Moloko;12
324;Talk Talk;12
325;Deftones;11
326;Hole;11
327;Johnny Marr;11
328;Obus;11
329;Papa Roach;11
330;Stone Temple Pilots;11
331;Al Stewart;10
332;Barry White;10
333;The Fratellis;10
334;The Wallflowers;10
335;Al Green;9
336;Andy Gibb;9
337;Blind Guardian;9
338;Carlos Berlanga;9
339;David Shire;9
340;Frankie Valli;9
341;Los Coronas;9
342;Mecano;9
343;Sylvester;9
344;The O'Jays;9
345;Tom Jones;9
346;Yann Tiersen;9
347;Alaska y Dinarama;8
348;Chic;8
349;The Stooges;8
350;Black Harmony;7
351;Derribos Arias;7
352;Golpes Bajos;7
353;John Travolta;7
354;Mika;7
355;Morcheeba;7
356;Violadores del Verso;7
357;Public Image Ltd.;6
358;Sha Na Na;6
359;Sid Vicious;6
360;The Doobie Brothers;6
361;The Trammps;6
362;Dick Dale;5
363;João Gilberto;5
364;Kool & the Gang;5
365;New Radicals;5
366;Sylvia Telles;5
367;The Byrds;5
368;Vampire Weekend;5
369;Ariel Rot;4
370;Beastie Boys;4
371;Eminem;4
372;José Luis Perales;4
373;Obús;4
374;Rinôçérôse;4
375;Simon & Garfunkel;4
376;The Yardbirds;4
377;B.J. Thomas;3
378;Cindy Bullens;3
379;Ennio Morricone;3
380;KC and The Sunshine Band;3
381;MFSB;3
382;Ralph MacDonald;3
383;Tavares;3
384;The Dandy Warhols;3
385;The Lovin' Spoonful;3
386;Walter Murphy;3
387;Yvonne Elliman;3
388;Brothers Johnson;2
389;Chuck Berry;2
390;JAY-Z;2
391;Jim Jacobs;2
392;Lilys;2
393;Olivia Newton-John;2
394;Rick Nelson;2
395;Stereophonics;2
396;The Tornadoes;2
397;A Tribe Called Quest;1
398;Alaska y Los Pegamoides;1
399;Black Grape;1
400;blink-182;1
401;Bruce Willis;1
402;Carlos Lyra;1
403;Cornershop;1
404;Cypress Hill;1
405;Duane Whitaker;1
406;Dusty Springfield;1
407;Frankie Avalon;1
408;Groove Armada;1
409;Happy Mondays;1
410;Helloween;1
411;Ian Brown;1
412;Kenickie;1
413;Leftfield;1
414;Link Wray & His Wraymen;1
415;Longpigs;1
416;Los Sencillos;1
417;Louis St. Louis;1
418;Marc Parrot;1
419;Maria McKee;1
420;Marilyn Manson;1
421;Mowgai;1
422;Museum;1
423;Passion Pit;1
424;Paul Francis Webster;1
425;Paul Weller;1
426;Pery Ribeiro;1
427;Samuel L. Jackson;1
428;Spiritualized;1
429;Stockard Channing;1
430;The Bluetones;1
431;The Go! Team;1
432;The Knack;1
433;The Lemonheads;1
434;The Lively Ones;1
435;The Long Blondes;1
436;The Marketts;1
437;The Notorious B.I.G.;1
438;The Robins;1
439;The Statler Brothers;1
440;The Wonder Stuff;1
441;Underworld;1
442;Urge Overkill;1
443;Vinícius de Moraes;1
