Puesto: 108 | Artista: Arctic Monkeys | Scrobbles: 85
Puesto: 109 | Artista: Sonic Youth | Scrobbles: 85
Puesto: 110 | Artista: Celtas Cortos | Scrobbles: 84
Puesto: 111 | Artista: Franz Ferdinand | Scrobbles: 84
Puesto: 112 | Artista: Steppenwolf | Scrobbles: 83
Puesto: 113 | Artista: The Chemical Brothers | Scrobbles: 83
Puesto: 114 | Artista: Kiss | Scrobbles: 82
Puesto: 115 | Artista: The WAEVE | Scrobbles: 80
Puesto: 116 | Artista: Jerry Lee Lewis | Scrobbles: 79
Puesto: 117 | Artista: Teenage Fanclub | Scrobbles: 79
Puesto: 118 | Artista: Arcade Fire | Scrobbles: 78
Puesto: 119 | Artista: Megadeth | Scrobbles: 78
Puesto: 120 | Artista: The Strokes | Scrobbles: 77
Puesto: 121 | Artista: ZZ Top | Scrobbles: 77
Puesto: 122 | Artista: Soulwax | Scrobbles: 76
Puesto: 123 | Artista: The Jesus and Mary Chain | Scrobbles: 76
Puesto: 124 | Artista: Duran Duran | Scrobbles: 75
Puesto: 125 | Artista: Echobelly | Scrobbles: 74
Puesto: 126 | Artista: Freddie Mercury | Scrobbles: 74
Puesto: 127 | Artista: Deep Purple | Scrobbles: 72
Puesto: 128 | Artista: Ocean Colour Scene | Scrobbles: 72
Puesto: 129 | Artista: Jarvis Cocker | Scrobbles: 71
Puesto: 130 | Artista: The Mamas & the Papas | Scrobbles: 70
Puesto: 131 | Artista: Los Suaves | Scrobbles: 69
Puesto: 132 | Artista: Massive Attack | Scrobbles: 69
Puesto: 133 | Artista: Dinosaur Jr. | Scrobbles: 68
Puesto: 134 | Artista: Leño | Scrobbles: 68
Puesto: 135 | Artista: Pearl Jam | Scrobbles: 68
Puesto: 136 | Artista: Metallica | Scrobbles: 67
Puesto: 137 | Artista: The Divine Comedy | Scrobbles: 65
Puesto: 138 | Artista: Luis Eduardo Aute | Scrobbles: 64
Puesto: 139 | Artista: Misfits | Scrobbles: 64
Puesto: 140 | Artista: Elvis Costello | Scrobbles: 63
Puesto: 141 | Artista: my bloody valentine | Scrobbles: 63
Puesto: 142 | Artista: Iggy Pop | Scrobbles: 61
Puesto: 143 | Artista: Guns N' Roses | Scrobbles: 60
Puesto: 144 | Artista: Space | Scrobbles: 59
Puesto: 145 | Artista: Syd Barrett | Scrobbles: 59
Puesto: 146 | Artista: The Stone Roses | Scrobbles: 59
Puesto: 147 | Artista: Lynyrd Skynyrd | Scrobbles: 58
Puesto: 148 | Artista: Def con Dos | Scrobbles: 57
Puesto: 149 | Artista: The White Stripes | Scrobbles: 57
Puesto: 150 | Artista: Ash | Scrobbles: 56
Puesto: 151 | Artista: Joy Division | Scrobbles: 56
Puesto: 152 | Artista: The Velvet Underground | Scrobbles: 56
Puesto: 153 | Artista: Elastica | Scrobbles: 53
Puesto: 154 | Artista: Jefferson Airplane | Scrobbles: 53
Puesto: 155 | Artista: Nick Cave & the Bad Seeds | Scrobbles: 53
Puesto: 156 | Artista: Siniestro Total | Scrobbles: 53
Puesto: 157 | Artista: The Horrors | Scrobbles: 53
Puesto: 158 | Artista: Depeche Mode | Scrobbles: 52
Puesto: 159 | Artista: The Offspring | Scrobbles: 52
Puesto: 160 | Artista: Dire Straits | Scrobbles: 51
Puesto: 161 | Artista: New Order | Scrobbles: 51
Puesto: 162 | Artista: Noel Gallagher | Scrobbles: 51
Puesto: 163 | Artista: The Hives | Scrobbles: 51
Puesto: 164 | Artista: The La's | Scrobbles: 50
Puesto: 165 | Artista: Buddy Holly | Scrobbles: 49
Puesto: 166 | Artista: Queens of the Stone Age | Scrobbles: 49
Puesto: 167 | Artista: Mötley Crüe | Scrobbles: 48
Puesto: 168 | Artista: Burning | Scrobbles: 47
Puesto: 169 | Artista: Eskorbuto | Scrobbles: 47
Puesto: 170 | Artista: Garbage | Scrobbles: 47
Puesto: 171 | Artista: Kraftwerk | Scrobbles: 47
Puesto: 172 | Artista: Klaxons | Scrobbles: 46
Puesto: 173 | Artista: Mike Oldfield | Scrobbles: 46
Puesto: 174 | Artista: Enrique Bunbury | Scrobbles: 45
Puesto: 175 | Artista: Rage Against the Machine | Scrobbles: 45
Puesto: 176 | Artista: Van Halen | Scrobbles: 45
Puesto: 177 | Artista: Beck | Scrobbles: 44
Puesto: 178 | Artista: Janis Joplin | Scrobbles: 44
Puesto: 179 | Artista: Otis Redding | Scrobbles: 44
