rank,artist_name,playcount,artist_url,artist_mbid
67,Gabinete Caligari,154,https://www.last.fm/music/Gabinete+Caligari,aa179aa4-5bfc-4814-b113-a6476fe26cbc
68,Phoenix,154,https://www.last.fm/music/Phoenix,
69,The Smiths,151,https://www.last.fm/music/The+Smiths,40f5d9e4-2de7-4f2d-ad41-e31a9a9fea27
70,Coldplay,149,https://www.last.fm/music/Coldplay,cc197bad-dc9c-440d-a5b5-d52ba2e14234
71,Iron Maiden,148,https://www.last.fm/music/Iron+Maiden,
72,The Jam,147,https://www.last.fm/music/The+Jam,5493b1c7-53f8-4156-a4ee-1eec07bc977b
73,Bruce Springsteen,144,https://www.last.fm/music/Bruce+Springsteen,70248960-cb53-4ea4-943a-edb18f7d336f
74,Red Hot Chili Peppers,140,https://www.last.fm/music/Red+Hot+Chili+Peppers,8bfac288-ccc5-448d-9573-c33ea2aa5c30
75,Prince,139,https://www.last.fm/music/Prince,070d193a-845c-479f-980e-bef15710653e
76,Los Planetas,138,https://www.last.fm/music/Los+Planetas,6f28b158-4d1a-4f31-9339-7f381e3c4ee1
77,Sidonie,138,https://www.last.fm/music/Sidonie,99849c03-4d4a-46cc-8e20-3852d0ca0746
78,Weezer,136,https://www.last.fm/music/Weezer,6fe07aa5-fec0-4eca-a456-f29bff451b04
79,The Prodigy,134,https://www.last.fm/music/The+Prodigy,4a4ee089-93b1-4470-af9a-6ff575d32704
80,Catatonia,133,https://www.last.fm/music/Catatonia,095b2041-4975-4ba3-a92e-53fa3459107f
81,Faith No More,132,https://www.last.fm/music/Faith+No+More,b15ebd71-a252-417d-9e1c-3e6863da68f8
82,R.E.M.,131,https://www.last.fm/music/R.E.M.,ea4dfa26-f633-4da6-a52a-f49ea4897b58
83,The Cardigans,129,https://www.last.fm/music/The+Cardigans,3e55d51d-687f-4a9d-af96-2fabccf802e5
84,Gladys Knight & The Pips,126,https://www.last.fm/music/Gladys+Knight+&+The+Pips,ca825016-f7fd-4ccf-a523-6ee36ea88828
